Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,Rating
Outlaw Volleyball,XB,2003,Sports,0.26,77,33,8.4,M
Rayman 3: Hoodlum Havoc,GC,2003,Platform,0.07,77,24,8.3,E
Apex,XB,2003,Racing,0.14,74,26,9.1,E
The Sum of All Fears,GC,2003,Shooter,0.03,36,11,3.4,T
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,1.29,49,10,6.2,E
Tom Clancy's Splinter Cell,PS2,2003,Action,2.65,89,24,7.7,T
Mega Man X7,PS2,2003,Action,0.58,58,30,5.1,E
Resident Evil: Dead Aim,PS2,2003,Action,0.35,65,28,6.6,M
Bujingai: The Forsaken City,PS2,2003,Fighting,0.1,72,28,7.5,T
Voodoo Vince,XB,2003,Platform,0.12,73,38,8.4,T
Red Faction II,XB,2003,Shooter,0.12,74,20,5.8,M
Time Crisis 3,PS2,2003,Shooter,0.61,81,29,8.1,T
SSX 3,XB,2003,Sports,0.39,92,27,8.7,E
FIFA Soccer 2004,XB,2003,Sports,0.79,82,20,8.2,E
Kya: Dark Lineage,PS2,2003,Adventure,0.16,69,25,8.9,T
Aquaman: Battle for Atlantis,GC,2003,Action,0.01,27,9,3.1,T
Pokemon Channel,GC,2003,Adventure,0.38,55,21,6,E
Tokyo Xtreme Racer DRIFT,PS2,2003,Racing,0.18,59,13,8.6,E
Kill.Switch,XB,2003,Shooter,0.24,75,26,8,T
Downhill Domination,PS2,2003,Racing,0.47,79,40,8.9,T
Tak and the Power of Juju,GBA,2003,Platform,0.55,79,28,9.2,E
EverQuest Online Adventures,PS2,2003,Role-Playing,0.43,74,22,8.2,T
Need for Speed Underground,GBA,2003,Racing,0.29,77,9,8.2,E
NFL Blitz Pro,PS2,2003,Sports,0.23,73,20,8.5,E
Battle Engine Aquila,PS2,2003,Shooter,0.03,73,17,9,T
SoulCalibur II,PS2,2003,Fighting,2.06,92,41,8.8,T
ESPN NBA Basketball,XB,2003,Sports,0.27,87,18,8.2,E
Red Faction II,GC,2003,Shooter,0.03,79,12,7.3,M
Lifeline,PS2,2003,Adventure,0.07,61,31,7.7,M
Star Wars Jedi Knight: Jedi Academy,PC,2003,Shooter,0.03,81,34,8.6,T
Tiger Woods PGA Tour 2004,GC,2003,Sports,0.16,89,16,7.8,E
FIFA Soccer 2004,GC,2003,Sports,0.07,83,17,6.2,E
Hitman 2: Silent Assassin,GC,2003,Action,0.13,83,17,5.5,M
Legacy of Kain: Defiance,PS2,2003,Action,0.53,75,34,9.3,M
RollerCoaster Tycoon,XB,2003,Strategy,0.13,62,8,8.3,E
Drakengard,PS2,2003,Role-Playing,0.65,63,55,9.1,M
Dragon Ball Z: Budokai,GC,2003,Fighting,0.69,65,16,6.3,T
Teenage Mutant Ninja Turtles,XB,2003,Action,0.3,56,22,8.4,E
Sonic Heroes,GC,2003,Platform,1.6,72,49,7.8,E
The Sims,PS2,2003,Simulation,2.77,83,33,7.7,T
Speed Kings,XB,2003,Racing,0.05,60,16,8.8,E
Harvest Moon: A Wonderful Life,GC,2003,Role-Playing,0.79,79,28,8.9,E
Tony Hawk's Underground,XB,2003,Sports,1.27,85,33,9.1,T
Donkey Kong Country,GBA,2003,Platform,2.04,78,26,8.9,E
Kirby Air Ride,GC,2003,Racing,1.62,61,28,7.9,E
Sonic Adventure DX: Director's Cut,GC,2003,Platform,1.27,57,27,7.9,E
Sphinx and the Cursed Mummy,GC,2003,Action,0.14,79,22,8.8,T
Romance of the Three Kingdoms IX,PS2,2003,Strategy,0.07,74,17,8.9,E
X2: Wolverine's Revenge,GC,2003,Platform,0.12,62,21,6.6,T
X2: Wolverine's Revenge,PS2,2003,Platform,0.64,58,24,7.2,T
Aliens versus Predator: Extinction,PS2,2003,Strategy,0.19,66,17,8.4,T
Harry Potter and the Sorcerer's Stone,XB,2003,Action,0.07,59,11,6,E
Robin Hood: Defender of the Crown,PS2,2003,Strategy,0.19,59,18,5.6,T
Manhunt,PS2,2003,Action,1.28,76,47,8.3,M
Teenage Mutant Ninja Turtles,PS2,2003,Action,0.92,59,29,8.7,E
NBA Live 2004,XB,2003,Sports,0.51,85,19,8.2,E
Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,0.64,67,23,6.6,E
Alias,PS2,2004,Action,0.11,64,31,8,T
Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,0.24,70,12,9.2,E
Mario Golf: Advance Tour,GBA,2004,Sports,0.45,84,38,8.6,E
ESPN NHL 2K5,PS2,2004,Sports,0.88,86,25,8.1,E
James Bond 007: Everything or Nothing,XB,2004,Shooter,0.64,83,51,7.4,T
ESPN NHL 2K5,XB,2004,Sports,0.42,88,32,8.5,E
Crash: Twinsanity,PS2,2004,Platform,0.64,64,38,8,E
World Tour Soccer 2005,PS2,2004,Sports,0.16,68,28,9,E
MVP Baseball 2004,XB,2004,Sports,0.59,90,31,8.5,E
Ty the Tasmanian Tiger 2: Bush Rescue,XB,2004,Platform,0.11,69,29,8.8,E
Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,0.59,62,8,8.1,E
Ridge Racer DS,DS,2004,Racing,0.15,63,35,6.7,E
The Polar Express,GC,2004,Adventure,0.11,40,7,4.7,E
Zoo Keeper,DS,2004,Puzzle,0.16,74,40,7.5,E
Spyro: A Hero's Tail,PS2,2004,Platform,0.64,60,16,8,E
BloodRayne 2,XB,2004,Shooter,0.15,71,35,8.5,M
GoldenEye: Rogue Agent,PS2,2004,Shooter,0.64,60,38,7,T
American Chopper,PS2,2004,Racing,0.42,47,4,7.5,T
Chessmaster,XB,2004,Misc,0.13,79,12,9,E
Yoshi Topsy-Turvy,GBA,2004,Platform,0.65,60,23,6.6,E
Mortal Kombat: Deception,XB,2004,Fighting,0.76,81,53,8.8,M
Syphon Filter: The Omega Strain,PS2,2004,Shooter,0.76,65,47,6.9,M
MX Unleashed,XB,2004,Racing,0.44,81,18,9.3,E
Driv3r,XB,2004,Racing,0.76,56,57,4.7,M
NBA Live 2005,GC,2004,Sports,0.45,83,17,6.7,E
Pokemon Dash,DS,2004,Racing,0.77,46,28,5.9,E
Godzilla: Save the Earth,XB,2004,Fighting,0.14,63,22,8.2,T
Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Fighting,0.22,61,12,8,T
Get On Da Mic,PS2,2004,Misc,0.15,49,29,6.3,T
Mr. Driller: Drill Spirits,DS,2004,Puzzle,0.14,70,35,8.9,E
Karaoke Revolution Volume 2,PS2,2004,Misc,0.23,76,26,7,E
NHL 2005,XB,2004,Sports,0.16,77,27,6.2,E
Army Men: Sarge's War,GC,2004,Shooter,0.15,56,11,6.7,T
InuYasha: The Secret of the Cursed Mask,PS2,2004,Role-Playing,0.43,51,7,8.1,T
Smash Court Tennis Pro Tournament 2,PS2,2004,Sports,0.13,74,41,9.1,E
Mafia,PS2,2004,Action,0.7,65,30,7.6,M
Mega Man X: Command Mission,GC,2004,Role-Playing,0.12,67,21,7.3,E
EyeToy: AntiGrav,PS2,2004,Sports,0.43,71,38,7.8,E
Lemony Snicket's A Series of Unfortunate Events,XB,2004,Platform,0.12,70,17,7.2,E
Gungrave: Overdose,PS2,2004,Shooter,0.14,68,50,8.7,M
Spyro: A Hero's Tail,XB,2004,Platform,0.14,64,17,9.1,E
Texas Hold 'Em Poker,GBA,2004,Misc,0.61,49,7,6.8,E
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,Adventure,0.7,73,8,7.5,E
That's So Raven,GBA,2004,Adventure,0.76,39,6,7.6,E
The X Files: Resist or Serve,PS2,2004,Adventure,0.12,67,31,8.4,M
Power Rangers: Dino Thunder,PS2,2004,Action,0.71,49,6,6.2,E
Fear Factor: Unleashed,GBA,2004,Action,0.14,30,15,3,T
Mafia,XB,2004,Action,0.23,66,33,7.7,M
Full Spectrum Warrior,XB,2004,Strategy,0.73,84,67,8.7,M
Katamari Damacy,PS2,2004,Puzzle,0.73,86,55,9,E
American Chopper,XB,2004,Racing,0.15,44,6,5.9,T
Samurai Warriors: Xtreme Legends,PS2,2004,Action,0.45,72,17,8.6,T
Classic NES Series: Donkey Kong,GBA,2004,Platform,0.73,55,15,4.8,E
The Guy Game,PS2,2004,Misc,0.13,48,20,6.7,M
WWE Survivor Series,GBA,2004,Fighting,0.13,55,12,8.2,T
King Arthur,PS2,2004,Action,0.13,59,22,8,T
Destruction Derby Arenas,PS2,2004,Racing,0.13,57,27,7.8,T
Shaman King: Power of Spirit,PS2,2004,Adventure,0.13,54,9,8.2,T
The Urbz: Sims in the City,GBA,2004,Simulation,0.62,72,6,9.2,E
Strike Force Bowling,PS2,2004,Sports,0.62,48,14,6.8,E
Classic NES Series: Metroid,GBA,2004,Adventure,0.43,58,9,8.6,E
XGRA: Extreme G-Racing Association,PS2,2004,Racing,0.62,68,23,8.6,T
Mega Man Zero 3,GBA,2004,Platform,0.22,77,21,9,E
Atelier Iris: Eternal Mana,PS2,2004,Role-Playing,0.15,74,38,7.7,T
Tony Hawk's Underground 2,XB,2004,Sports,0.75,83,55,7.8,T
Shark Tale,PS2,2004,Action,0.75,69,30,6.5,E
Need for Speed Underground 2,GBA,2004,Racing,0.43,72,8,8.2,E
Shin Megami Tensei: Digital Devil Saga,PS2,2004,Role-Playing,0.13,78,42,8.2,M
UEFA Euro 2004: Portugal,PS2,2004,Sports,0.14,76,21,6.4,E
Teenage Mutant Ninja Turtles 2: Battle Nexus,XB,2004,Action,0.13,48,20,5.6,T
Test Drive: Eve of Destruction,PS2,2004,Racing,0.23,73,34,9.1,T
WWE Day of Reckoning,GC,2004,Fighting,0.45,79,47,9.1,T
Hamtaro: Ham-Ham Games,GBA,2004,Sports,0.22,77,20,7.8,E
Trigger Man,PS2,2004,Shooter,0.16,32,4,4.8,T
The Polar Express,PS2,2004,Adventure,0.23,39,10,4.3,E
Metroid: Zero Mission,GBA,2004,Adventure,0.84,89,50,9,E
ESPN College Hoops 2K5,PS2,2004,Sports,0.84,86,14,8.1,E
NFL Street,XB,2004,Sports,0.66,81,38,8.8,E
Shellshock: Nam '67,XB,2004,Shooter,0.22,58,37,7,M
Magna Carta: Tears of Blood,PS2,2004,Role-Playing,0.22,66,34,7,T
Van Helsing,PS2,2004,Action,0.44,64,41,8.5,T
The Incredibles,GC,2004,Action,0.84,63,27,7.1,T
Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004,Action,0.44,47,25,7.8,T
Phantom Dust,XB,2004,Action,0.11,81,37,8.5,T
Spider-Man 2,GC,2004,Action,0.84,80,41,8.8,T
Street Fighter Anniversary Collection,PS2,2004,Fighting,0.66,78,30,8.7,T
Ping Pals,DS,2004,Misc,0.11,28,17,3.9,E
Tiger Woods PGA Tour,DS,2004,Sports,0.14,64,21,7.4,E
Guilty Gear X2 #Reload,XB,2004,Fighting,0.15,86,34,7.6,T
Tiger Woods PGA Tour 2005,XB,2004,Sports,0.85,88,26,8.9,E
Suikoden IV,PS2,2004,Role-Playing,0.66,63,44,7.3,T
Darkstalkers Chronicle: The Chaos Tower,PSP,2004,Fighting,0.15,74,27,7.9,T
Street Fighter Anniversary Collection,XB,2004,Fighting,0.15,79,33,6.4,T
AirForce Delta Strike,PS2,2004,Simulation,0.11,66,22,7,T
Lemony Snicket's A Series of Unfortunate Events,PS2,2004,Platform,0.64,63,25,5.7,E
Shadow Ops: Red Mercury,XB,2004,Shooter,0.15,61,45,6.1,T
Crash: Twinsanity,XB,2004,Platform,0.15,66,30,8.7,E
Second Sight,PS2,2004,Adventure,0.14,76,48,8,T
Dead Man's Hand,XB,2004,Shooter,0.11,62,31,8.1,T
Cabela's Deer Hunt 2005 Season,XB,2004,Sports,0.11,59,5,7.5,T
Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,0.83,57,6,5,E
The Lord of the Rings: The Third Age,GBA,2004,Role-Playing,0.22,67,7,8.5,T
Breakdown,XB,2004,Adventure,0.12,71,62,8.2,M
Mario Pinball Land,GBA,2004,Misc,0.69,62,35,4.9,E
The Suffering,XB,2004,Action,0.22,77,44,8.8,M
Shadow Hearts: Covenant,PS2,2004,Role-Playing,0.24,85,49,9.1,T
NCAA Football 2005,GC,2004,Sports,0.22,88,18,9,E
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,0.68,78,44,8.7,T
Prince of Persia: Warrior Within,XB,2004,Action,0.8,83,55,7.5,M
Shark Tale,GBA,2004,Action,0.68,63,8,9,E
Hitman: Contracts,PS2,2004,Shooter,0.8,80,39,8.3,M
Viewtiful Joe 2,GC,2004,Action,0.22,86,39,8.3,T
Worms Forts: Under Siege,PS2,2004,Strategy,0.11,63,21,8,T
Tak 2: The Staff of Dreams,PS2,2004,Platform,0.62,71,31,8,E
NHL 2005,PS2,2004,Sports,0.45,75,21,8.3,E
Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,0.81,70,34,8.2,M
Grand Theft Auto,GBA,2004,Action,0.24,68,33,7.1,M
The Legend of Zelda: Four Swords Adventures,GC,2004,Action,0.81,86,55,7.2,E
Dragon Ball Z: Buu's Fury,GBA,2004,Action,0.61,62,19,8.9,E
The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004,Role-Playing,0.14,63,25,6.9,E10+
Fight Night 2004,XB,2004,Fighting,0.68,85,47,8.7,T
CSI: Crime Scene Investigation,XB,2004,Adventure,0.12,45,14,7.3,M
MTV Music Generator 3: This Is the Remix,PS2,2004,Misc,0.14,79,28,8.6,T
FIFA Soccer 2005,GC,2004,Sports,0.14,78,22,8.5,E
Phantom Brave,PS2,2004,Role-Playing,0.14,81,40,7.9,T
NCAA Football 2005,XB,2004,Sports,0.68,89,29,8,E
Fire Emblem: The Sacred Stones,GBA,2004,Strategy,0.89,85,38,9.1,E
Second Sight,XB,2004,Adventure,0.07,75,46,8,T
Lemony Snicket's A Series of Unfortunate Events,GBA,2004,Platform,0.42,72,8,8,E
Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004,Fighting,0.28,46,23,4.7,M
Mortal Kombat: Deception,PS2,2004,Fighting,1.88,81,43,8.5,M
World Championship Pool 2004,PS2,2004,Sports,0.05,60,4,6.7,E
Colin McRae Rally 2005,XB,2004,Racing,0.05,83,35,7.5,E
Shrek 2,PS2,2004,Platform,1.86,71,32,8.5,E
Jak 3,PS2,2004,Platform,1.85,84,55,8.6,T
Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,1.85,76,37,7.9,E
Fatal Frame II: Crimson Butterfly Director's Cut,XB,2004,Action,0.05,84,37,8.3,M
NCAA March Madness 2005,XB,2004,Sports,0.28,80,18,7.8,E
"Warhammer 40,000: Dawn of War",PC,2004,Strategy,0.05,86,51,8.8,M
X-Men Legends,GC,2004,Role-Playing,0.53,81,36,8.5,T
Tenchu: Fatal Shadows,PS2,2004,Action,0.19,58,33,8,M
Sly 2: Band of Thieves,PS2,2004,Platform,1.81,88,64,9,E
The Getaway: Black Monday,PS2,2004,Action,1.78,57,53,7.6,M
The SpongeBob SquarePants Movie,PS2,2004,Platform,1.76,75,5,9,E
Def Jam: Fight for NY,PS2,2004,Fighting,1.76,83,46,8.9,M
The Urbz: Sims in the City,PS2,2004,Simulation,1.76,70,25,8.2,T
Star Wars: Battlefront,XB,2004,Shooter,1.75,80,55,9.1,T
Alias,XB,2004,Action,0.05,64,37,6,T
Second Sight,GC,2004,Adventure,0.05,77,34,8.5,T
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004,Platform,0.53,71,24,8.2,E
Custom Robo,GC,2004,Role-Playing,0.37,65,31,8.1,T
Madden NFL 2005,XB,2004,Sports,1.72,91,39,7.6,E
Far Cry,PC,2004,Shooter,0.05,89,72,8.1,M
X-Men Legends,PS2,2004,Role-Playing,1.93,79,48,8.5,T
MechAssault 2: Lone Wolf,XB,2004,Simulation,0.36,81,66,7.5,T
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,2.25,87,55,9.4,E
Feel the Magic XY/XX,DS,2004,Puzzle,0.29,75,55,8.1,T
Star Trek: Shattered Universe,XB,2004,Simulation,0.04,41,21,4,E
Port Royale 2,PC,2004,Strategy,0.04,75,20,7.7,T
Digimon Rumble Arena 2,GC,2004,Fighting,0.04,71,5,8.1,T
Psi-Ops: The Mindgate Conspiracy,PS2,2004,Shooter,0.29,84,46,8.9,M
Spyro: A Hero's Tail,GC,2004,Platform,0.29,62,13,8.3,E
Star Wars: Battlefront,PC,2004,Shooter,0.21,72,19,3.5,T
Dance Dance Revolution Extreme,PS2,2004,Simulation,2.13,77,26,9,E
Manhunt,XB,2004,Action,0.19,74,37,7.9,M
GoldenEye: Rogue Agent,GC,2004,Shooter,0.36,60,35,6.7,T
Boktai 2: Solar Boy Django,GBA,2004,Role-Playing,0.04,78,20,8.5,T
Viewtiful Joe,PS2,2004,Action,0.28,90,34,8.5,T
Bad Boys: Miami Takedown,GC,2004,Shooter,0.05,35,11,2,M
The Bard's Tale,PS2,2004,Role-Playing,0.21,76,44,8.6,T
Wrath Unleashed,XB,2004,Strategy,0.05,69,32,7,T
Sudeki,XB,2004,Role-Playing,0.19,72,75,8.4,M
Hot Shots Golf: Open Tee,PSP,2004,Sports,1.96,81,57,8.7,E10+
Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004,Action,0.19,49,16,4.6,T
Dragon Ball Z: Budokai 3,PS2,2004,Fighting,1.94,77,32,8.9,T
MX Unleashed,PS2,2004,Racing,1.92,80,18,9.2,E
Ace Combat 5: The Unsung War,PS2,2004,Simulation,1.71,84,57,9.1,T
Harry Potter and the Prisoner of Azkaban,XB,2004,Action,0.19,67,23,8.8,E
Fallout: Brotherhood of Steel,XB,2004,Role-Playing,0.05,66,33,5.5,M
Zoo Tycoon 2,PC,2004,Strategy,0.06,72,34,8.1,E
Racing Gears Advance,GBA,2004,Racing,0.06,83,17,8.9,E
FlatOut,PS2,2004,Racing,0.38,70,30,8.5,T
Tron 2.0: Killer App,XB,2004,Action,0.06,69,36,4.3,T
The Dukes of Hazzard: Return of the General Lee,PS2,2004,Racing,0.21,52,17,6.8,E
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004,Role-Playing,0.27,67,21,8.4,T
Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,2004,Shooter,0.06,57,16,8.6,T
Greg Hastings' Tournament Paintball,XB,2004,Shooter,0.54,74,11,9.2,T
Fight Night 2004,PS2,2004,Fighting,1.48,85,43,9,T
BloodRayne 2,PS2,2004,Shooter,0.27,70,26,8.5,M
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,1.48,93,74,8.6,T
Terminator 3: The Redemption,XB,2004,Shooter,0.06,66,38,8.6,T
Onimusha 3: Demon Siege,PS2,2004,Action,1.45,85,53,8.6,M
Red Dead Revolver,PS2,2004,Shooter,1.45,73,42,7.8,M
Fight Club,PS2,2004,Fighting,0.18,36,28,4.4,M
Tiger Woods PGA Tour 2005,PS2,2004,Sports,1.44,88,30,8.2,E
ESPN College Hoops 2K5,XB,2004,Sports,0.38,86,18,8.3,E
Classic NES Series: Super Mario Bros.,GBA,2004,Platform,1.43,84,14,8.6,E
The Legend of Zelda: The Minish Cap,GBA,2004,Action,1.42,89,56,9,E
NFL Street,PS2,2004,Sports,1.42,80,36,8.9,E
Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004,Action,0.06,68,19,6.2,T
RollerCoaster Tycoon 3,PC,2004,Strategy,0.27,81,39,5,E
Catwoman,XB,2004,Action,0.06,45,33,4.6,T
RalliSport Challenge 2,XB,2004,Racing,0.27,87,69,9.1,E
Rocky: Legends,PS2,2004,Action,0.27,65,24,8.6,T
Crash 'N' Burn,PS2,2004,Racing,0.21,63,17,8,T
Blitz: The League,XB,2004,Sports,0.53,78,30,7.7,M
Harry Potter and the Prisoner of Azkaban,GC,2004,Action,0.38,67,22,7.3,E
NBA Ballers,PS2,2004,Sports,1.66,83,44,9.2,E
UEFA Euro 2004: Portugal,XB,2004,Sports,0.05,74,21,8.1,E
Conflict: Vietnam,PS2,2004,Shooter,0.53,58,24,8.1,M
Mario Party 6,GC,2004,Misc,1.65,71,33,7.9,E
Godzilla: Save the Earth,PS2,2004,Fighting,0.47,62,19,8.7,T
Prince of Persia: Warrior Within,PS2,2004,Action,1.64,83,51,8.5,M
ESPN NFL 2K5,XB,2004,Sports,1.63,92,42,9.1,E
Pure Pinball,XB,2004,Misc,0.04,68,11,8.5,E
NCAA Football 2005,PS2,2004,Sports,1.62,88,29,8.8,E
EyeToy Play 2,PS2,2004,Misc,0.38,78,30,7,E10+
NFL Street 2,PS2,2004,Sports,1.61,77,33,8.7,E
Dragon Ball Z: Budokai 2,GC,2004,Fighting,0.27,66,9,5.8,T
ESPN NBA 2K5,PS2,2004,Sports,1.59,83,24,7.5,E
Amazing Island,GC,2004,Strategy,0.06,59,22,6.6,E
Tom Clancy's Rainbow Six 3,GC,2004,Shooter,0.06,68,25,8.2,M
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,0.89,84,16,8.6,E
Athens 2004,PS2,2004,Sports,0.27,61,57,7.2,E
Samurai Jack: The Shadow of Aku,PS2,2004,Action,0.06,59,21,8.4,T
Metal Gear Solid: The Twin Snakes,GC,2004,Action,0.47,85,54,9,M
NCAA March Madness 2005,PS2,2004,Sports,0.53,78,19,8.3,E
Arc the Lad: End of Darkness,PS2,2004,Role-Playing,0.06,59,24,4.2,T
Headhunter: Redemption,PS2,2004,Action,0.04,62,29,6.7,M
Need for Speed Underground 2,XB,2004,Racing,2.28,77,35,8.7,E
Tak 2: The Staff of Dreams,GC,2004,Platform,0.33,75,22,8.6,E
Madden NFL 2005,PS2,2004,Sports,4.53,91,30,7.9,E
Digimon Rumble Arena 2,XB,2004,Fighting,0.02,65,8,8.8,T
Ape Escape Academy,PSP,2004,Misc,0.33,51,48,5.8,E10+
Pitfall: The Lost Expedition,PS2,2004,Platform,0.2,70,34,8.9,E
Spider-Man 2,DS,2004,Action,0.49,61,46,5,E
Midway Arcade Treasures 2,XB,2004,Misc,0.31,74,38,7.4,M
Painkiller,PC,2004,Shooter,0.02,81,62,8.1,M
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,4.23,91,68,9.3,M
Headhunter: Redemption,XB,2004,Action,0.02,59,26,6.8,M
Tony Hawk's Underground 2,GC,2004,Sports,0.5,82,30,8.9,T
Monster Hunter,PS2,2004,Role-Playing,0.5,68,37,8.9,T
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,2004,Action,0.5,65,8,7.3,E
Kuon,PS2,2004,Adventure,0.02,57,20,7.7,M
Knight's Apprentice: Memorick's Adventures,XB,2004,Action,0.02,53,11,4.5,T
Serious Sam: Next Encounter,GC,2004,Shooter,0.02,69,18,8.4,M
Dead or Alive Ultimate,XB,2004,Fighting,0.5,83,64,8.7,M
World Soccer Winning Eleven 8 International,PS2,2004,Sports,3.85,91,26,9.1,E
Pro Fishing Challenge,XB,2004,Sports,0.02,62,11,9.1,E
FIFA Soccer 2005,PS2,2004,Sports,3.7,81,27,7.6,E
Ty the Tasmanian Tiger 2: Bush Rescue,GC,2004,Platform,0.2,70,20,8.6,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,5.21,89,63,8.8,T
Star Wars: Battlefront,PS2,2004,Shooter,3.61,82,36,8.7,T
Castle Shikigami 2,PS2,2004,Shooter,0.02,67,4,7.4,E
Unreal Tournament 2004,PC,2004,Shooter,0.02,93,48,8.9,M
Unreal II: The Awakening,XB,2004,Shooter,0.21,64,27,5.3,M
Grand Theft Auto: San Andreas,PS2,2004,Action,20.81,95,80,9,M
Wade Hixton's Counter Punch,GBA,2004,Sports,0.01,78,13,9.5,T
Powerdrome,XB,2004,Racing,0.01,69,12,7,T
Karaoke Revolution Volume 3,PS2,2004,Misc,0.32,82,25,7.8,E
Gran Turismo 4,PS2,2004,Racing,11.66,89,74,8.5,E
Tiger Woods PGA Tour 2005,PC,2004,Sports,0.01,91,16,4.5,E
NFL Street 2,XB,2004,Sports,0.48,78,44,6.5,E
Need for Speed: Porsche Unleashed,GBA,2004,Racing,0.48,62,4,7.8,E
Halo 2,XB,2004,Shooter,8.49,95,91,8.2,M
Kingdom Under Fire: The Crusaders,XB,2004,Strategy,0.32,81,50,7.9,M
Evil Genius,PC,2004,Strategy,0.02,75,51,8.3,T
Need for Speed Underground 2,PS2,2004,Racing,6.9,82,39,8.6,E
Dynasty Warriors 4 Empires,PS2,2004,Action,0.32,71,29,8.8,T
Colin McRae Rally 2005,PC,2004,Racing,0.02,83,11,7.1,E
Beyblade G-Revolution,GBA,2004,Action,0.2,40,5,7.8,E
Pokémon Emerald Version,GBA,2004,Role-Playing,6.41,76,28,9,E
Syberia II,PC,2004,Adventure,0.02,80,23,8.3,T
World of Warcraft,PC,2004,Role-Playing,6.29,93,57,7.3,T
Capcom Fighting Evolution,PS2,2004,Fighting,0.2,57,33,4.8,T
Classic NES Series: Castlevania,GBA,2004,Platform,0.33,74,10,8.6,E
GoldenEye: Rogue Agent,XB,2004,Shooter,0.49,61,55,7.2,T
Leisure Suit Larry: Magna Cum Laude,PS2,2004,Adventure,0.34,60,44,6.3,M
The Urbz: Sims in the City,XB,2004,Simulation,0.34,70,28,6.5,T
Steel Battalion: Line of Contact,XB,2004,Simulation,0.02,70,19,8,T
Fable,XB,2004,Role-Playing,2.66,85,87,8.5,M
The Sims 2,PC,2004,Simulation,0.29,90,61,8.8,T
Battle Assault 3 featuring Gundam Seed,PS2,2004,Action,0.03,48,9,8.7,T
ESPN NFL 2K5,PS2,2004,Sports,2.62,90,37,8.2,E
Crimson Tears,PS2,2004,Role-Playing,0.03,62,30,7.8,T
NBA Live 2005,PS2,2004,Sports,2.59,84,21,8.1,E
Neo Contra,PS2,2004,Shooter,0.21,65,37,7.1,M
Obscure,XB,2004,Adventure,0.04,66,29,8.4,M
Harry Potter and the Prisoner of Azkaban,PC,2004,Action,0.04,67,19,7.2,E
Mega Man X8,PS2,2004,Platform,0.29,68,23,8.5,E
Scaler,GC,2004,Platform,0.04,69,11,7.3,E
The Lord of the Rings: The Third Age,GC,2004,Role-Playing,0.29,74,25,7.8,T
Cy Girls,PS2,2004,Action,0.04,53,28,8.8,M
Tenchu: Return From Darkness,XB,2004,Action,0.21,70,55,7,M
Half-Life 2,PC,2004,Shooter,2.37,96,81,9.1,M
The Incredibles,PS2,2004,Action,2.37,62,36,7.6,T
Tony Hawk's Underground 2,PS2,2004,Sports,2.37,83,59,8.8,T
Echo Night Beyond,PS2,2004,Adventure,0.04,60,22,8.8,T
Dragon Ball: Advanced Adventure,GBA,2004,Action,0.04,75,7,8.5,E10+
Harry Potter and the Prisoner of Azkaban,GBA,2004,Action,0.52,69,11,8.1,E
James Bond 007: Everything or Nothing,PS2,2004,Shooter,2.31,84,42,9.1,T
Prince of Persia: Warrior Within,GC,2004,Action,0.2,83,31,8.6,M
Burnout 3: Takedown,PS2,2004,Racing,2.68,93,52,9.1,T
MC Groovz Dance Craze,GC,2004,Misc,0.2,42,8,6.8,E
MLB SlugFest Loaded,PS2,2004,Sports,0.3,77,30,9.5,T
Spider-Man 2,PS2,2004,Action,3.41,80,50,8.9,T
Serious Sam Advance,GBA,2004,Shooter,0.02,51,9,7.2,M
Hitman: Contracts,XB,2004,Shooter,0.34,78,44,8.8,M
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004,Adventure,0.34,65,34,8.6,E10+
Baldur's Gate: Dark Alliance,GBA,2004,Role-Playing,0.03,76,17,6.5,T
Silent Hill 4: The Room,PS2,2004,Action,0.51,76,54,7.8,M
Battlefield Vietnam,PC,2004,Shooter,0.03,84,48,7.5,T
